timestamp,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1439903317373688,51.76090397,-1.2618375747,111.640587,5735875.120865563,619956.180271385,-111.640587,30U,-6.647,-0.891,-0.264,0.08001319095507274,0.4972772037928982,2.869281419139487
1439903317472014,51.7608974525,-1.2618404523,111.667389,5735874.391344962,619955.9989682905,-111.667389,30U,-6.036,0.02,-0.295,0.08219354925304258,0.5008248719357776,2.8695862752588805
1439903317570426,51.7608909642,-1.2618432284,111.702461,5735873.6652385425,619955.8245920823,-111.702461,30U,-5.43,0.919,-0.333,0.08369531594740012,0.5036114298612796,2.869963127265843
1439903317668841,51.7608844806,-1.2618459206,111.742279,5735872.939792798,619955.655993158,-111.742279,30U,-4.825,1.803,-0.355,0.08440466993377392,0.5060818189405953,2.870207209608712
1439903317775002,51.7608779661,-1.2618485465,111.779869,5735872.211019832,619955.4920513326,-111.779869,30U,-4.21,2.711,-0.395,0.08491801089797678,0.5090770913019883,2.870483608073565
1439903317881165,51.7608742224,-1.2618450566,111.863579,5735871.800436686,619955.7428064069,-111.863579,30U,-3.634,3.489,-0.432,0.0805909005190458,0.5103276154018244,2.870400002421618
1439903317979624,51.7608708326,-1.2618408717,111.963326,5735871.43035262,619956.0405842736,-111.963326,30U,-3.045,4.267,-0.463,0.07609154817423412,0.5099312683254256,2.870894812132576
1439903318077868,51.7608673964,-1.2618366234,112.057564,5735871.055212875,619956.3428602979,-112.057564,30U,-2.459,5.048,-0.472,0.07182186489077093,0.5103613712459097,2.871547546458173
1439903318169413,51.7608639079,-1.2618325044,112.143959,5735870.674044382,619956.6363522143,-112.143959,30U,-1.877,5.822,-0.474,0.0690972651606223,0.5114526420974691,2.87120391993686
1439903318260957,51.7608586252,-1.2618086599,112.212837,5735870.125794258,619958.2958240816,-112.212837,30U,-1.291,6.611,-0.47,-0.025018499999161368,0.5134887999993503,3.048585100000558
1439903318365191,51.7608577366,-1.2617998761,112.284027,5735870.041424133,619958.904334984,-112.284027,30U,-1.16,7.254,-0.489,-0.02395456519073309,0.5148738589473987,3.0429940680899636
1439903318471773,51.7608567768,-1.2617904378,112.361427,5735869.950212737,619959.5582006028,-112.361427,30U,-1.032,7.889,-0.517,-0.02671785596442524,0.5157120263239161,3.0430817268694184
1439903318578369,51.7608558172,-1.2617810048,112.440247,5735869.859014949,619960.211699974,-112.440247,30U,-0.906,8.556,-0.524,-0.029075431025763876,0.5161906169135377,3.0432457313018544
1439903318684208,51.7608548259,-1.2617714994,112.515717,5735869.764411093,619960.8702796042,-112.515717,30U,-0.782,9.21,-0.528,-0.03150033078069742,0.5169551616631208,3.043705487345386
1439903318782727,51.7608537899,-1.2617620804,112.583366,5735869.6646942785,619961.5230154258,-112.583366,30U,-0.65,9.855,-0.547,-0.032904853240883616,0.5184360730046033,3.0437276836801037
1439903318880799,51.7608533675,-1.2617483208,112.667473,5735869.640353548,619962.4736624787,-112.667473,30U,-0.753,8.699,-0.516,-0.03288919626217378,0.5190671068190877,3.043671366998012
1439903318972152,51.7608530906,-1.2617340615,112.759865,5735869.63301548,619963.4584073414,-112.759865,30U,-0.83,7.33,-0.463,-0.03300596565176682,0.5190014391533019,3.04348932820757
1439903319063506,51.760852908,-1.2617197603,112.85379,5735869.636233286,619964.4457936995,-112.85379,30U,-0.867,5.962,-0.403,-0.03352281884499789,0.5188904445276237,3.043487523996146
1439903319168376,51.7608528175,-1.2617053972,112.945076,5735869.649795213,619965.4372075426,-112.945076,30U,-0.896,4.591,-0.331,-0.03457898987040793,0.5192472388059062,3.043734857974677
1439903319275177,51.7608533113,-1.2616964474,112.997345,5735869.719430695,619966.0535095836,-112.997345,30U,-0.949,3.222,-0.26,-0.005830300000085104,0.5245223000000904,2.989500900000678
1439903319381765,51.7608525551,-1.2616918374,113.031052,5735869.642919584,619966.3736426474,-113.031052,30U,-1.133,1.943,-0.207,-0.007675064434712723,0.5268336087635878,2.9895907729344917
1439903319486459,51.7608518986,-1.2616872301,113.069,5735869.577491327,619966.6933251136,-113.069,30U,-1.326,0.647,-0.159,-0.009769637340778136,0.5287748342473009,2.9896053120856663
1439903319577892,51.7608513348,-1.2616826282,113.110626,5735869.522363039,619967.0123892125,-113.110626,30U,-1.516,-0.649,-0.104,-0.012347433130540915,0.5305342835777176,2.9893868798415055
1439903319669324,51.760850829,-1.2616780608,113.148048,5735869.473627989,619967.3289187828,-113.148048,30U,-1.698,-1.912,-0.053,-0.014098774935343278,0.5323328672583265,2.989839492172123
1439903319767462,51.7608504157,-1.2616734601,113.187202,5735869.435234326,619967.6475011369,-113.187202,30U,-1.867,-3.208,-0.015,-0.01603161195826421,0.5340823108185998,2.99046825066893
