timestamp,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1436518923046908,51.7608618355,-1.26162976,118.903984,5735870.777074371,619970.6329007202,-118.903984,30U,-0.141,-0.47,0.035,-0.009348600000767919,-0.002652299999955525,-0.3365300071796284
1436518923153576,51.7608611436,-1.2616319202,119.353607,5735870.696577167,619970.4856630492,-119.353607,30U,-0.144,-0.448,0.025,-0.009248001861620796,-0.0010771667446449202,-0.34431241434625376
1436518923258339,51.7608596247,-1.261636229,120.460136,5735870.520577876,619970.1923463247,-120.460136,30U,-0.168,-0.427,0.013,-0.009068567296154198,-0.0004132223176158044,-0.3571818335175496
1436518923349768,51.7608583256,-1.2616399528,121.390594,5735870.369984078,619969.9388168013,-121.390594,30U,-0.179,-0.415,0.007,-0.008633462837992356,-0.00023967338112337776,-0.36854455782870676
1436518923441198,51.7608577465,-1.2616417847,121.747337,5735870.302571022,619969.8139355301,-121.747337,30U,-0.189,-0.409,0.006,-0.007861818239110425,4.80912734483498e-06,-0.3751276985487641
1436518923546914,51.7608575674,-1.2616425468,121.781746,5735870.28140032,619969.7618190387,-121.781746,30U,-0.193,-0.4,0.003,-0.0070092484387668155,0.00030715929776261523,-0.3786096811693941
1436518923652629,51.7608574356,-1.2616431601,121.781441,5735870.265734453,619969.7198456031,-121.781441,30U,-0.175,-0.368,-0.004,-0.005976934224654503,0.0002287896405529643,-0.38139055856305304
1436518923744059,51.7608573211,-1.26164371,121.781395,5735870.252096748,619969.682201436,-121.781395,30U,-0.147,-0.322,-0.001,-0.005269701679005171,6.193270307439969e-05,-0.3839923258322454
1436518923835489,51.7608572239,-1.2616441833,121.780838,5735870.240508918,619969.6497974492,-121.780838,30U,-0.124,-0.271,0.005,-0.004675983398372777,0.0002076429328844989,-0.38629907046899176
1436518923940252,51.76085714,-1.2616445811,121.779953,5735870.230524331,619969.6225683347,-121.779953,30U,-0.103,-0.224,0.006,-0.004211521165270183,0.00023484476019612724,-0.3880396084256702
1436518924046920,51.7608570725,-1.2616449148,121.778969,5735870.222468972,619969.5997191826,-121.778969,30U,-0.079,-0.187,0.007,-0.0038689999993696657,0.0002867000002373525,-0.38944580718035515
1436518924153588,51.7608570211,-1.2616451929,121.778053,5735870.216295495,619969.5806642143,-121.778053,30U,-0.06,-0.154,0.006,-0.003745406058242063,0.0003826326770716903,-0.3907562373453354
1436518924258351,51.7608569791,-1.2616454211,121.777138,5735870.211249443,619969.5650278454,-121.777138,30U,-0.048,-0.123,0.007,-0.003625087674260116,0.0003691265409029118,-0.3917322942831284
1436518924349781,51.760856945,-1.2616456069,121.776077,5735870.207151667,619969.552296489,-121.776077,30U,-0.036,-0.098,0.007,-0.0034477345919501036,0.00041976740179455047,-0.3924120023860805
1436518924441211,51.7608569201,-1.261645756,121.775131,5735870.204137362,619969.5420733499,-121.775131,30U,-0.023,-0.075,0.006,-0.0033273590868323974,0.00046046735595901996,-0.39304252416808627
1436518924546926,51.7608569032,-1.2616458712,121.774193,5735870.202068473,619969.5341683879,-121.774193,30U,-0.012,-0.054,0.006,-0.003271318306389453,0.0004582448728881521,-0.39354490839157735
1436518924652642,51.7608568952,-1.2616459559,121.773155,5735870.201039493,619969.5283445879,-121.773155,30U,0.002,-0.036,0.008,-0.0031487836352554833,0.0004818633088619749,-0.3939615961441988
1436518924744072,51.7608568972,-1.2616460132,121.772041,5735870.201167647,619969.5243851079,-121.772041,30U,0.012,-0.019,0.008,-0.0030555591404429045,0.0005238183851420894,-0.3943705266989293
