timestamp,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1417534258108439,51.7605930729,-1.2612424889,111.182877,5735841.526093525,619998.070456693,-111.182877,30U,-0.004,-0.012,-0.001,-0.012792300000607323,-0.002098899999650786,0.2092629000005551
1417534258199868,51.7605930967,-1.2612423102,111.178307,5735841.5290342625,619998.0827254511,-111.178307,30U,-0.004,-0.014,-0.002,-0.012800430203284707,-0.0020923697978945718,0.20926367734751466
1417534258291297,51.7605930936,-1.2612423291,111.178429,5735841.528658425,619998.0814294053,-111.178429,30U,-0.003,-0.012,-0.001,-0.012796571678243615,-0.0020896434190700313,0.20926451696782195
1417534258389539,51.7605930907,-1.2612423466,111.178551,5735841.528307132,619998.0802294414,-111.178551,30U,-0.003,-0.012,-0.002,-0.012818916941906669,-0.0020837585650220463,0.2092615320429033
1417534258488001,51.7605930876,-1.2612423641,111.178711,5735841.5279336,619998.0790300084,-111.178711,30U,-0.004,-0.012,-0.002,-0.012807499999759112,-0.0020860679358190664,0.20926724341820496
1417534258594156,51.7605930844,-1.2612423818,111.178886,5735841.527548617,619998.0778170382,-111.178886,30U,-0.003,-0.012,-0.002,-0.012802367956832063,-0.0020915942905120454,0.20926936040659452
1417534258700311,51.7605930813,-1.2612423987,111.179085,5735841.527176069,619998.07665901,-111.179085,30U,-0.003,-0.012,-0.002,-0.01279288673841394,-0.0020913661166376152,0.20926311326059108
1417534258798773,51.7605930784,-1.2612424153,111.179329,5735841.526826259,619998.0755211532,-111.179329,30U,-0.003,-0.012,-0.002,-0.012800869806344721,-0.0020927698064151777,0.209270883031834
1417534258897235,51.7605930755,-1.2612424316,111.179565,5735841.52647694,619998.074404,-111.179565,30U,-0.003,-0.011,-0.003,-0.012806092449313243,-0.0020965755073211268,0.2092679508263307
1417534258995697,51.7605930724,-1.2612424472,111.179848,5735841.526106533,619998.0733356829,-111.179848,30U,-0.004,-0.01,-0.003,-0.012789741546891433,-0.002092920773904817,0.20927015283843484
