timestamp,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1437748635869356,51.7608341445,-1.2618587238,110.958679,5735867.321039223,619954.905884176,-110.958679,30U,-0.012,0.0,0.023,0.08803990000080605,-0.013354799999278973,-2.005604507165524
1437748635976021,51.7608350277,-1.2618555873,110.954849,5735867.424415542,619955.1199880178,-110.954849,30U,-0.015,-0.004,0.022,0.08803585447944358,-0.01335851048723824,-2.0070071598160855
1437748636080782,51.7608372058,-1.2618478525,110.945396,5735867.679356226,619955.6479808936,-110.945396,30U,-0.021,-0.011,0.022,0.0880162000003603,-0.01335190791365926,-2.0104568810290564
1437748636172209,51.7608390419,-1.261841332,110.937424,5735867.89426711,619956.0930833393,-110.937424,30U,-0.026,-0.017,0.021,0.08800577090584273,-0.013359993503975631,-2.013360864872439
1437748636263636,51.7608397495,-1.2618388191,110.934349,5735867.977089948,619956.2646189497,-110.934349,30U,-0.028,-0.019,0.021,0.08800558813670878,-0.013352397626867431,-2.0144900196819173
1437748636369348,51.7608398199,-1.2618385689,110.934052,5735867.985330405,619956.2816982456,-110.934052,30U,-0.028,-0.019,0.021,0.08801078830681786,-0.013358081384079,-2.0145947138330564
1437748636475060,51.7608397553,-1.2618388235,110.934395,5735867.977727708,619956.2642999394,-110.934395,30U,-0.027,-0.02,0.02,0.08800408753228853,-0.013356533420149481,-2.0145961062218274
1437748636566488,51.7608396881,-1.2618390904,110.934761,5735867.969815643,619956.2460597222,-110.934761,30U,-0.027,-0.019,0.02,0.08798480078884265,-0.013352615220555938,-2.014598882412349
1437748636657915,51.7608398772,-1.2618389396,110.93486,5735867.991092803,619956.2559649614,-110.93486,30U,-0.027,-0.019,0.02,0.08799263365024734,-0.01335758411184984,-2.0146593262012185
1437748636762675,51.7608403961,-1.2618382455,110.934601,5735868.049939443,619956.3024882919,-110.934601,30U,-0.028,-0.02,0.02,0.08801038015459096,-0.013341155058820112,-2.014819397275876
1437748636869340,51.7608408999,-1.2618375297,110.934303,5735868.107142561,619956.350549127,-110.934303,30U,-0.029,-0.02,0.019,0.08799500000080845,-0.013350200000775771,-2.0149207071637827
1437748636976005,51.7608412897,-1.2618368987,110.933998,5735868.151528671,619956.3930602176,-110.933998,30U,-0.03,-0.021,0.02,0.08798864995193763,-0.013366026320056283,-2.0149991343889324
1437748637080765,51.7608415813,-1.2618363016,110.933685,5735868.184938559,619956.4334922096,-110.933685,30U,-0.029,-0.02,0.019,0.0879960940691767,-0.013349200000418206,-2.015048801973948
1437748637172193,51.7608412157,-1.2618364739,110.93367,5735868.143998112,619956.4225711192,-110.93367,30U,-0.028,-0.019,0.019,0.08800590000086618,-0.01334130208710163,-2.0149228078071633
1437748637263620,51.7608406611,-1.2618370229,110.933792,5735868.081420062,619956.3861555319,-110.933792,30U,-0.026,-0.019,0.018,0.08799664954988176,-0.013357787837152107,-2.0147970207935084
1437748637369332,51.7608402841,-1.2618374555,110.933899,5735868.038783721,619956.3573017756,-110.933899,30U,-0.024,-0.018,0.018,0.08799050952520647,-0.0133516428470151,-2.014677290281797
